Symbol,Name,Index Fund,Category Name,Net Expense Ratio,Tracking Error (vs Category) (3Y),Tracking Error (vs Category) (5Y),Tracking Error (vs Category) (10Y),R-Squared (vs Category) (5Y),Share Class Assets Under Management,Downside (vs Category) (5Y),Downside (vs Category) (10Y),Max Drawdown (5Y),Max Drawdown (10Y),Information Ratio (vs Category) (3Y),Information Ratio (vs Category) (5Y),Information Ratio (vs Category) (10Y),Historical Sortino (3Y),Historical Sortino (5Y),Historical Sortino (10Y),Upside (vs Category) (3Y),Upside (vs Category) (5Y),Upside (vs Category) (10Y),3 Year Total Returns (Daily),5 Year Total Returns (Daily),10 Year Total Returns (Daily),2025 Scoring System,Oldest Share Symbol,Share Class
AADR,AdvisorShares Dorsey Wright ADR ETF,False,Foreign Large Growth,0.010900,10.560000,10.190000,10.370000,0.650500,45641336.000000,0.730300,0.858800,0.34767,0.449967,0.890000,0.420000,0.140000,2.2577,0.5693,0.5582,0.957700,0.952300,0.963300,0.812435,0.405172,1.392258,0.698188,,Single Share Class
AAEQ,Alpha Architect US Equity 2 ETF,False,Large Blend,0.001500,,,,,444146853.000000,,,,,,,,,,,,,,,,,0.675068,,Single Share Class
AAIEX,American Beacon International Equity Fd R5,False,Foreign Large Value,0.008000,4.780000,5.410000,4.940000,0.890600,275501988.000000,1.220700,1.118000,0.292087,0.433053,-0.650000,-0.230000,-0.220000,1.9708,0.9085,0.4975,1.023600,1.074400,1.034500,0.526215,0.529754,1.144362,0.746928,AAIEX,Retirement
AALRX,American Beacon Large Cap Value Fund R6,False,Large Value,0.006400,2.720000,2.860000,,0.964600,1497132944.000000,1.002500,,0.196422,0.416877,-0.220000,0.150000,,1.4070,1.0218,0.6303,0.960700,1.015900,,0.556455,0.617962,1.92975,0.80025,AADEX,Retirement
AASOX,Alger SmallCap Growth Portfolio I-2,False,Small Growth,0.009700,6.360000,6.380000,8.310000,0.914200,131445417.000000,1.176300,0.954300,0.540175,0.540175,-0.960000,-1.340000,-0.120000,0.2256,-0.6089,0.4926,0.858500,0.870100,0.940200,0.211142,-0.289044,1.445354,0.007707,AASOX,Other
AASRX,American Beacon Small Cap Value Fund R6,False,Small Value,0.007900,4.120000,4.120000,,0.958700,1520824559.000000,0.984500,,0.289718,0.496485,-0.460000,0.300000,,0.5070,0.5043,0.4358,0.967100,1.023000,,0.440662,0.427999,1.477187,0.191418,AVFIX,Retirement
AATIX,Ancora/Thelen Small-Mid Cap Fund I,False,Small Value,0.012000,7.350000,6.840000,7.020000,0.883200,126271095.000000,0.851900,0.804200,0.275042,0.431704,0.200000,0.160000,0.070000,0.8921,0.5185,0.5254,0.888900,0.912200,0.871900,0.483057,0.345214,1.55488,0.170798,AATIX,Inst
AAUS,Alpha Architect US Equity ETF,False,Large Blend,0.001500,,,,,467122536.000000,,,,,,,,,,,,,,,,,0.675068,,Single Share Class
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,False,Mid-Cap Value,0.003500,,,,,10667715.000000,,,,,,,,,,,,,,,,,0.437617,,Single Share Class
ABCYX,American Beacon The London Company Inc Eqty Y,False,Large Value,0.008300,4.570000,4.720000,5.230000,0.895400,628211179.000000,0.947300,0.902600,0.203052,0.332823,-0.450000,-0.310000,-0.160000,1.3534,0.8337,0.7039,0.854400,0.919000,0.913700,0.431023,0.471882,1.593441,0.668819,ABCIX,Inst
ABEMX,abrdn Emerging Markets Fund Inst,False,Diversified Emerging Mkts,0.011000,3.250000,4.400000,4.570000,0.926400,503803043.000000,1.107200,1.109100,0.45436,0.45436,-1.030000,-0.850000,-0.390000,1.9019,-0.0709,0.5010,0.917100,0.935400,1.011100,0.498077,0.063905,0.940364,0.101437,ABEMX,Inst
ABEQ,Absolute Select Value ETF,False,Large Value,0.008500,8.080000,7.590000,,0.729800,139586665.000000,0.649500,,0.172567,,-0.120000,-0.070000,,2.1743,1.2690,,0.753200,0.768800,,0.456829,0.551946,,0.829827,,Single Share Class
ABFL,Abacus FCF Leaders ETF,False,Large Blend,0.004900,4.720000,4.370000,,0.917500,651883431.000000,0.876800,,0.218547,,-1.110000,-0.310000,,1.3575,0.9134,,0.812700,0.885800,,0.545849,0.676126,,0.709644,,Single Share Class
ABIAX,AB International Value Fund A,False,Foreign Large Value,0.011800,4.640000,5.820000,5.470000,0.892000,91487085.000000,1.192100,1.132800,0.329924,0.500848,-0.510000,-0.130000,-0.410000,2.2840,0.9624,0.4135,1.012800,1.076900,1.002400,0.605747,0.610552,0.977102,0.454072,ABIYX,A
ABIG,Argent Large Cap ETF,False,Large Blend,0.004900,,,,,44860088.000000,,,,,,,,,,,,,,,,,0.368673,,Single Share Class
ABLD,Abacus FCF Real Assets Leaders ETF,True,Mid-Cap Value,0.003900,7.190000,,,,43164415.000000,,,,,0.260000,,,1.3086,,,0.897100,,,0.50356,,,0.524474,,Single Share Class
ABLG,Abacus FCF International Leaders ETF,False,Foreign Large Blend,0.005400,5.480000,5.500000,,0.859900,17053104.000000,1.162300,,0.341251,,-1.760000,-1.010000,,0.7367,0.0772,,0.778600,0.889600,,0.215495,0.087181,,0.126432,,Single Share Class
ABLS,Abacus FCF Small Cap Leaders ETF,True,Small Blend,0.003900,,,,,919894.000000,,,,,,,,,,,,,,,,,0.41408,,Single Share Class
ABMVX,AB Mid Cap Value Portfolio Z,False,Mid-Cap Value,0.006700,,,,,2427054.000000,,,,,,,,,,,,,,,,,0.283899,ABMVX,Z
ABVYX,AB Large Cap Value Fund Adv,False,Large Value,0.006400,3.240000,3.400000,3.480000,0.953300,408615626.000000,1.009700,1.070000,0.182217,0.40423,0.780000,0.680000,-0.180000,1.6234,1.2248,0.6004,1.097400,1.083000,1.020300,0.66731,0.77271,1.601553,0.870235,ABVYX,Adv
ABYEX,AB Emerging Markets Multi-Asset Portfolio Adv,False,Diversified Emerging Mkts,0.010000,5.160000,4.760000,5.030000,0.912900,150258002.000000,0.801200,0.841000,0.385975,0.385975,0.200000,0.150000,-0.400000,2.7434,0.3878,0.5364,0.854200,0.874000,0.828600,0.681223,0.308304,0.987719,0.403666,ABIEX,Adv
ABYSX,AB Discovery Value Fund Advisor,False,Small Value,0.008300,5.650000,5.620000,5.160000,0.921100,1533873540.000000,0.922400,0.928400,0.247513,0.488109,-0.380000,0.010000,-0.180000,0.5271,0.4266,0.4263,0.889000,0.939500,0.923100,0.401708,0.317681,1.25625,0.164549,ABYSX,Adv
ACAEX,American Century International Growth Fund G,False,Foreign Large Growth,0.000200,4.830000,,,,1042063515.000000,,,0.384453,0.384453,-1.210000,,,0.7731,0.0061,0.5600,0.885700,,,0.214165,0.076475,0.914983,0.380754,TWIEX,Other
ACAFX,American Century International Value Fund G,False,Foreign Large Value,0.000200,4.160000,,,,917191330.000000,,,,,0.250000,,,3.0173,,,1.056600,,,0.832859,,,0.911893,MEQAX,Other
ACALX,Advisors Capital Active All Cap Fund,False,Large Blend,0.019100,1.350000,,,,262946568.000000,,,,,-2.770000,,,1.5767,,,0.912900,,,0.595783,,,0.040408,ACALX,Single Share Class
ACAZX,Alger Capital Appreciation Fund Z,False,Large Growth,0.009100,6.130000,5.890000,4.610000,0.936200,1217666145.000000,1.132700,1.077800,0.411007,0.411007,1.580000,0.060000,0.080000,2.2308,0.7587,1.0394,1.288800,1.093300,1.049800,1.365847,0.938367,4.115039,0.852114,ACAAX,Z
