Symbol,Name,Category Name,Annualized 5 Year Total Returns (Monthly),Annualized 10 Year Total Returns (Monthly),Alpha (vs Category) (5Y),Alpha (vs Category) (10Y),Max Drawdown (5Y),Max Drawdown (10Y),Upside (5Y),Upside (10Y),Downside (5Y),Downside (10Y),Median Manager Tenure,Average Manager Tenure,Share Class Assets Under Management,Total Assets Under Management,Annual Report Expense Ratio,Score_2023,Avail_Weight,Share_Class_Flag
KSCOX,Kinetics Small Cap Opportunities Fund No Load,Small Growth,0.234371,0.231352,21.66,14.04,0.330636,0.470936,1.17847828,1.22991908,0.5188445,0.65947186,19.85,19.18,407659863,601931446,0.0164,82.9,100,⚠ REVIEW – Not Institutional
WWNPX,Kinetics Paradigm Fund No Load,Mid-Cap Growth,0.234539,0.223565,20.48,12.02,0.410939,0.435127,0.90662596,1.06550138,0.33761604,0.72474296,23.02,20.51,660076492,1413399106,0.0164,77.3,100,⚠ REVIEW – Not Institutional
URA,Global X Uranium ETF,Natural Resources,0.305749,0.196764,20.21,9.94,0.378372,0.935348,1.39814655,1.23184872,0.72435963,1.0394122,7.51,7.51,6581853638,6581853638,0.0069,71.8,100,⚠ REVIEW – Not Institutional
CPIEX,Counterpoint Tactical Equity Fund I,Long-Short Equity,0.267127,0.077858,18.99,3.89,0.480853,0.482112,0.86280047,0.43880146,-0.06306761,0.29590546,10.26,10.26,539348671,591331709,0.0144,66.4,100,⚠ REVIEW – Not Institutional
QLEIX,AQR Long-Short Equity Fund I,Long-Short Equity,0.259069,0.12319,18.68,6.14,0.254538,0.391939,0.72537109,0.53808505,-0.26128283,0.18514269,4.16,5.28,7160153218,8067955556,0.0574,69,100,⚠ REVIEW – Not Institutional
DXJ,WisdomTree Japan Hedged Equity Fund,Japan Stock,0.27713,0.182154,18.6,8.86,0.221939,0.391186,0.84796757,0.85736216,-0.23348929,0.32179321,4.67,4.81,5971529970,5971529970,0.0048,85.5,100,⚠ REVIEW – Not Institutional
NLR,VanEck Uranium and Nuclear ETF,Natural Resources,0.284743,0.157087,18.53,8.76,0.30475,0.523403,1.26882418,0.81028507,0.60859829,0.50365006,10.2,10.2,4453914063,4453914063,0.0052,76.5,100,⚠ REVIEW – Not Institutional
OPPJ,WisdomTree Japan Opportunities Fund,Japan Stock,0.26098,0.175578,17.9,9.09,0.164928,0.392623,0.77516086,0.7916866,-0.26698314,0.25032907,4.67,4.81,251901807,251901807,0.0058,78.7,100,⚠ REVIEW – Not Institutional
RSNYX,Victory Global Energy Transition Fund Y,Natural Resources,0.319245,0.161506,17.52,1.63,0.357957,0.886557,1.25890465,1.31437701,0.42063643,1.39091569,18.85,15.17,412306313,524088757,0.0115,63.1,100,⚠ REVIEW – Not Institutional
BIVIX,Invenomic Fund Institutional,Long-Short Equity,0.195768,,17.22,,0.172026,,0.36227964,,-0.5588019,,8.7,8.7,545168496,1050803583,0.0304,69.6,57,
URNM,Sprott Uranium Miners ETF,Natural Resources,0.258493,,17.08,,0.507447,,1.13270924,,0.50822797,,2.92,2.92,2065103806,2065103806,0.0075,65.6,57,⚠ REVIEW – Not Institutional
KMKNX,Kinetics Market Opportunities Fund NL,Mid-Cap Growth,0.211072,0.224389,16.74,12.39,0.314713,0.314713,0.85587433,0.97490319,0.36773071,0.54069554,19.97,17.47,250739667,338844673,0.014,85.8,100,⚠ REVIEW – Not Institutional
EKWYX,Allspring Precious Metals Fund Inst,Equity Precious Metals,0.358316,0.217384,16.64,4.85,0.489542,0.692625,1.47495871,0.92901161,0.60138002,0.36567677,16.2,16.2,664388754,1303748038,0.0079,80.5,100,⚠ REVIEW – Not Institutional
QMNRX,AQR Equity Market Neutral Fund R6,Equity Market Neutral,0.207007,0.064789,15.93,5.17,0.351603,0.386625,0.34936725,0.10578585,-0.64626222,-0.25601046,4.16,5.28,1669694406,3249901732,0.0588,68.4,100,⚠ REVIEW – Not Institutional
GLDIX,Gabelli Gold Fund I,Equity Precious Metals,0.345456,0.213459,15.11,4.19,0.491544,0.647691,1.48368358,0.96219704,0.67720572,0.45028589,18.37,18.37,374082592,698119163,0.0119,75.6,100,⚠ REVIEW – Not Institutional
NEAIX,Needham Aggressive Growth Fund Instl,Small Growth,0.175269,0.202267,14.53,,0.359265,0.359265,1.17571783,1.14631726,1.13098366,1.00551082,16.17,16.17,1213960079,1541302754,,91.8,84,⚠ REVIEW – Not Institutional
RING,iShares MSCI Global Gold Miners ETF,Equity Precious Metals,0.333262,0.212795,14.03,3.82,0.520318,0.721051,1.46006343,0.95346835,0.69560783,0.43794106,0.91,3.98,2867015393,2867015393,0.0039,66,100,⚠ REVIEW – Not Institutional
INIVX,VanEck International Investors Gold Fund A,Equity Precious Metals,0.326779,0.223944,13.88,4.46,0.510677,0.698688,1.42988786,1.00338276,0.67578678,0.4659076,11.84,11.84,585994023,1384686508,0.0142,70.9,100,⚠ REVIEW – Not Institutional
SGDM,Sprott Gold Miners ETF,Equity Precious Metals,0.31863,0.19493,13.74,2.41,0.496822,0.496822,1.35238854,0.88769904,0.58370665,0.42052627,6.43,6.43,632356635,632356635,0.0046,64.9,100,⚠ REVIEW – Not Institutional
OMCIX,Oberweis Micro-Cap Fund Institutional,Small Growth,0.166881,0.206082,13.72,,0.280083,0.499607,1.18118198,,1.18505319,,17.59,17.59,591575160,1027318086,0.0121,78.8,76,
FLJH,Franklin FTSE Japan Hedged ETF,Japan Stock,0.219547,,13.68,,0.203904,,0.79058046,,-0.01963051,,4.92,5.44,135724931,135724931,0.0009,81.6,57,⚠ REVIEW – Not Institutional
OCMAX,OCM Gold Fund Atlas,Equity Precious Metals,0.313027,0.236845,13.45,6.08,0.451373,0.661082,1.39792704,1.02240067,0.68840947,0.42706558,38.1,38.1,166269002,194834649,0.0163,77.3,100,⚠ REVIEW – Not Institutional
AUERX,Auer Growth Fund,Small Value,0.218795,0.157838,13.21,5.57,0.229964,0.518897,1.08260667,1.02218003,0.73794556,1.02611498,13.09,14.79,66272677,66272677,0.0203,79.7,100,⚠ REVIEW – Not Institutional
DBJP,Xtrackers MSCI Japan Hedged Equity ETF,Japan Stock,0.213087,0.1611,13.16,7.05,0.215031,0.313,0.7924823,0.7983264,0.0186369,0.34404504,5.92,5.57,582719610,582719610,0.0045,80,100,⚠ REVIEW – Not Institutional
HEWJ,iShares Currency Hedged MSCI Japan ETF,Japan Stock,0.214318,0.161264,13.06,7.53,0.208955,0.315323,0.80340232,0.80468033,0.02954705,0.35360905,12.09,12.09,703413625,703413625,0,84,100,⚠ REVIEW – Not Institutional
GRHIX,Goehring & Rozencwajg Resources Fund Institutional,Natural Resources,0.28711,,12.94,,0.31469,,1.26191651,,0.58496368,,9.17,9.17,926745472,1006176847,0.0092,75.1,57,
FEGIX,First Eagle Gold Fund I,Equity Precious Metals,0.297496,0.192646,12.94,4.41,0.371135,0.647463,1.21166763,0.77490416,0.44694029,0.22273595,7.51,7.51,2889864371,5015182566,0.009,67.2,100,⚠ REVIEW – Not Institutional
VSMIX,Invesco Small Cap Value Fund Y,Small Value,0.217576,0.182846,12.89,6.33,0.25262,0.573265,1.12880703,1.23193099,0.82677846,1.28289266,15.69,15.69,5578597620,9248905651,0.0082,78.3,100,⚠ REVIEW – Not Institutional
GDX,VanEck Gold Miners ETF,Equity Precious Metals,0.318694,0.207442,12.67,3.33,0.497903,0.723201,1.44130277,0.94593037,0.7342145,0.45520152,10.82,10.82,24666000434,24666000434,,64,95,⚠ REVIEW – Not Institutional
FKRCX,Franklin Gold and Precious Metals Fund A,Equity Precious Metals,0.318524,0.220976,12.47,3.07,0.487882,0.739242,1.49042677,1.11264378,0.81777375,0.68418114,23.56,23.56,2828402402,4318761234,0.0087,65.8,100,⚠ REVIEW – Not Institutional
MIDSX,Midas Discovery,Equity Precious Metals,0.308865,0.176826,12.28,0.16,0.570707,0.852928,1.44136249,0.97597983,0.78209668,0.6912511,24.17,24.17,41870177,41870177,0.0347,35.8,100,⚠ REVIEW – Not Institutional
AVALX,Aegis Value Fund I,Natural Resources,0.277027,0.245551,12.22,9.53,0.320022,0.483649,1.5330459,1.48710701,0.84869243,0.9950475,27.81,27.81,1230253899,1230253899,0.0136,79,100,⚠ REVIEW – Not Institutional
GOEX,Global X Gold Explorers ETF,Equity Precious Metals,0.315423,0.23002,12.16,3.13,0.505328,0.837979,1.56507953,1.20394346,0.95764744,0.79912013,7.51,7.51,128101846,128101846,0.0065,58.5,100,⚠ REVIEW – Not Institutional
BGEIX,American Century Global Gold Fund Investor,Equity Precious Metals,0.308283,0.204835,12.1,3.18,0.5192,0.695178,1.39102086,0.92213659,0.69989058,0.42625056,2.58,4.38,1429789754,1600382359,0.0066,56.4,100,⚠ REVIEW – Not Institutional
AVERX,Ave Maria Value Focused Fund,Mid-Cap Blend,0.212028,0.175731,12.03,5.1,0.220073,0.385416,0.95182983,0.99220462,0.53757869,0.86062822,30.11,30.11,109734962,109734962,0.0111,86.1,100,⚠ REVIEW – Not Institutional
XME,State Street SPDR S&P Metals & Mining ETF,Natural Resources,0.283915,0.233434,11.98,7.08,0.372853,0.78495,1.60210023,1.58090734,1.17191995,1.45142853,9.16,6.94,4096943235,4096943235,0.0035,67.7,100,⚠ REVIEW – Not Institutional
USERX,US Global Investors Gold & Precious Metals Fund,Equity Precious Metals,0.297022,0.216801,11.79,3.98,0.434654,0.641779,1.37656172,1.08582101,0.73072678,0.65902638,24.18,18.93,258410655,258410655,0.0169,66.2,100,⚠ REVIEW – Not Institutional
USAGX,Victory Precious Metals & Mnrls Fund Fund,Equity Precious Metals,0.300367,0.199559,11.79,2.54,0.510302,0.735471,1.36537401,0.93872057,0.69529276,0.48806228,5.05,5.59,962237223,1072205240,0.0114,47.4,100,⚠ REVIEW – Not Institutional
SGDLX,Sprott Gold Equity Fund Inv,Equity Precious Metals,0.290203,0.186757,11.52,2.06,0.475873,0.689018,1.37549582,0.94327544,0.76260414,0.57205658,5.23,10.02,1117835377,1617647810,0.0133,48.1,100,⚠ REVIEW – Not Institutional
